"Group","Setting"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/HDD/IdlePowerParameters/IdleState/3/IdlePowerMw"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/HDD/IdlePowerParameters/IdleState/3/IdleTimeLengthMs"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/HDD/IdlePowerParameters/NumberOfIdleStates"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SD/ActivePowerParameters/FlushPowerMw"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SD/ActivePowerParameters/LargeRandomReadPowerMw"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SD/ActivePowerParameters/LargeRandomWritePowerMw"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SD/ActivePowerParameters/LargeSequentialReadPowerMw"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SD/ActivePowerParameters/LargeSequentialWritePowerMw"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SD/ActivePowerParameters/SmallRandomReadPowerMw"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SD/ActivePowerParameters/SmallRandomWritePowerMw"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SD/ActivePowerParameters/SmallSequentialReadPowerMw"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SD/ActivePowerParameters/SmallSequentialWritePowerMw"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SD/IdlePowerParameters/IdleState/1/IdleExitEnergyMicroJoules"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SD/IdlePowerParameters/IdleState/1/IdleExitLatencyMs"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SD/IdlePowerParameters/IdleState/1/IdlePowerMw"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SD/IdlePowerParameters/IdleState/1/IdleTimeLengthMs"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SD/IdlePowerParameters/NumberOfIdleStates"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SSD/ActivePowerParameters/FlushPowerMw"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SSD/ActivePowerParameters/LargeRandomReadPowerMw"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SSD/ActivePowerParameters/LargeRandomWritePowerMw"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SSD/ActivePowerParameters/LargeSequentialReadPowerMw"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SSD/ActivePowerParameters/LargeSequentialWritePowerMw"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SSD/ActivePowerParameters/SmallRandomReadPowerMw"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SSD/ActivePowerParameters/SmallRandomWritePowerMw"
